TNF IL2 IFNG CD28 B3GAT1 TIGIT HAVCR2 LAG3 PDCD1 EOMES CTLA4 ENTPD1 TOX CD244
TNF 1 0 0.34 0.111111111111111 0.1 0.34 0.04 0.12 0 0.12 0 0.0454545454545455 0.12 0.06
IL2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IFNG 0.34 0 1 0.111111111111111 0.257142857142857 0.425641025641026 0.24 0.323076923076923 0.352941176470588 0.259842519685039 0.25 0.272727272727273 0.316666666666667 0.287037037037037
CD28 0.111111111111111 0 0.111111111111111 1 0 0.555555555555556 0 0 0 0.222222222222222 0.25 0 0.111111111111111 0
B3GAT1 0.1 0 0.257142857142857 0 1 0.271428571428571 0.08 0.185714285714286 0.117647058823529 0.171428571428571 0 0.0454545454545455 0.0857142857142857 0.114285714285714
TIGIT 0.34 0 0.425641025641026 0.555555555555556 0.271428571428571 1 0.3 0.378787878787879 0.470588235294118 0.47244094488189 0.5 0.454545454545455 0.341666666666667 0.37962962962963
HAVCR2 0.04 0 0.24 0 0.08 0.3 1 0.36 0.0588235294117647 0.24 0 0.0909090909090909 0.18 0.08
LAG3 0.12 0 0.323076923076923 0 0.185714285714286 0.378787878787879 0.36 1 0.352941176470588 0.251968503937008 0.25 0.363636363636364 0.3 0.25
PDCD1 0 0 0.352941176470588 0 0.117647058823529 0.470588235294118 0.0588235294117647 0.352941176470588 1 0.176470588235294 0 0.117647058823529 0.176470588235294 0.117647058823529
EOMES 0.12 0 0.259842519685039 0.222222222222222 0.171428571428571 0.47244094488189 0.24 0.251968503937008 0.176470588235294 1 0 0.136363636363636 0.2 0.175925925925926
CTLA4 0 0 0.25 0.25 0 0.5 0 0.25 0 0 1 0 0.25 0
ENTPD1 0.0454545454545455 0 0.272727272727273 0 0.0454545454545455 0.454545454545455 0.0909090909090909 0.363636363636364 0.117647058823529 0.136363636363636 0 1 0.272727272727273 0.181818181818182
TOX 0.12 0 0.316666666666667 0.111111111111111 0.0857142857142857 0.341666666666667 0.18 0.3 0.176470588235294 0.2 0.25 0.272727272727273 1 0.185185185185185
CD244 0.06 0 0.287037037037037 0 0.114285714285714 0.37962962962963 0.08 0.25 0.117647058823529 0.175925925925926 0 0.181818181818182 0.185185185185185 1
