cells_id	x	gene_ENSG00000232810	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000188389	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_542	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_543	11 years	0	0	1.567287266299578	0	0	0	0	0	0	0	0	0	0	0
cell_544	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_545	11 years	0	0	0	0	0	0	0	0	2.292211184900219	0	0	0	0	2.292211184900219
cell_546	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_547	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8099041925235038
cell_548	11 years	0	0	0	0	1.4546523189009342	0	0	0	0	0	0	0	0	1.4546523189009342
cell_549	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_550	11 years	0	0	1.9826195747416908	0	0	0	0	0	0	0	0	0	0	0
cell_551	11 years	0	0	0	0	0	0	0	2.3493420473813797	0	0	0	0	0	0
cell_552	11 years	0	0	0	0	0	1.6266168455583059	0	0	0	0	0	0	0	0
cell_553	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_554	11 years	0	0	2.2736295945669314	0	0	1.6784598321556474	0	0	0	0	0	0	0	0
cell_555	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_556	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_557	11 years	0	0	1.5509802090832585	0	0	0	0	0	0	0	0	0	0	0
cell_558	11 years	0	0	1.6661670495986436	0	0	0	0	1.6661670495986436	0	0	0	0	0	0
cell_559	11 years	0	0	0	0	0	1.4627576008684886	0	0	0	0	0	0	0	0
cell_560	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_561	11 years	1.6873774272295088	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_562	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_563	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_564	11 years	1.5708998930216758	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_565	11 years	0	0	0	0	0	1.3240520522426698	0	0	0	0	0	0	0	0
cell_566	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_567	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_568	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_569	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5139930195507043
cell_570	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_571	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_572	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_573	11 years	0	0	0	0	0	1.5038441062118193	0	0	0	0	0	0	0	0
cell_574	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_575	11 years	0.9859622505275961	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_576	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_577	11 years	0	0	2.2505092822175627	0	0	0	0	0	0	0	0	0	0	0
cell_578	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_579	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_580	11 years	0	0	0	0	0	2.389753378716794	0	0	0	0	0	0	0	0
cell_581	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_582	11 years	0	0	1.584935351604316	0	0	0	0	0	0	0	0	0	1.584935351604316	0
cell_583	11 years	0.9413646076703833	0	0.9413646076703833	0	0	0	0	0	0	0	0.9413646076703833	0	0	0.9413646076703833
cell_584	11 years	2.343361888752739	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_585	11 years	0	0	0	0	0	1.4304695061680068	0	0	0	1.4304695061680068	0	0	1.4304695061680068	0
cell_586	11 years	0	0	0	0	0	0	0	1.4549040174268315	0	0	0	0	0	0
cell_587	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_588	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_589	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_590	11 years	0	0	2.2043674648485996	0	0	0	0	0	0	0	0	0	0	0
cell_591	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_592	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_593	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_594	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_595	11 years	0	0	0	0	0	0	0	0	0	0	0	0	1.561012755032635	0
cell_596	11 years	0	0	0	0	0	1.4751163030370635	0	0	0	0	0	0	0	0
cell_597	11 years	0	0	0	0	0	0	0	0	0	2.0078721291121413	0	0	0	0
cell_598	11 years	1.793288882926619	0	0.981976532520958	0	0	1.4677489182937875	0	0	0	0	0	0	0	0
cell_599	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
