TNF IL2 IFNG CD28 B3GAT1 TIGIT HAVCR2 LAG3 PDCD1 EOMES CTLA4 ENTPD1 TOX CD244
TNF 1 0 0.308035714285714 0.166666666666667 0.205128205128205 0.183098591549296 0.363636363636364 0.271929824561404 1 0.1875 0 0.25 0.166666666666667 0.194444444444444
IL2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IFNG 0.308035714285714 0 1 0.2 0.179487179487179 0.23943661971831 0.181818181818182 0.228070175438596 0.5 0.1875 0.333333333333333 0.25 0.196969696969697 0.277777777777778
CD28 0.166666666666667 0 0.2 1 0.0333333333333333 0.133333333333333 0 0.1 0 0.0333333333333333 0 0 0.133333333333333 0.0333333333333333
B3GAT1 0.205128205128205 0 0.179487179487179 0.0333333333333333 1 0.102564102564103 0 0.0512820512820513 0 0.102564102564103 0 0 0.0256410256410256 0
TIGIT 0.183098591549296 0 0.23943661971831 0.133333333333333 0.102564102564103 1 0 0.112676056338028 0 0.0625 0.166666666666667 0 0.151515151515152 0.0555555555555556
HAVCR2 0.363636363636364 0 0.181818181818182 0 0 0 1 0.0909090909090909 0 0 0 0 0.0909090909090909 0.0909090909090909
LAG3 0.271929824561404 0 0.228070175438596 0.1 0.0512820512820513 0.112676056338028 0.0909090909090909 1 0 0.0833333333333333 0 0 0.166666666666667 0.138888888888889
PDCD1 1 0 0.5 0 0 0 0 0 1 0 0 0 0 0
EOMES 0.1875 0 0.1875 0.0333333333333333 0.102564102564103 0.0625 0 0.0833333333333333 0 1 0 0 0.0208333333333333 0.111111111111111
CTLA4 0 0 0.333333333333333 0 0 0.166666666666667 0 0 0 0 1 0 0.166666666666667 0
ENTPD1 0.25 0 0.25 0 0 0 0 0 0 0 0 1 0 0
TOX 0.166666666666667 0 0.196969696969697 0.133333333333333 0.0256410256410256 0.151515151515152 0.0909090909090909 0.166666666666667 0 0.0208333333333333 0.166666666666667 0 1 0.0277777777777778
CD244 0.194444444444444 0 0.277777777777778 0.0333333333333333 0 0.0555555555555556 0.0909090909090909 0.138888888888889 0 0.111111111111111 0 0 0.0277777777777778 1
