cells_id	x	gene_ENSG00000228849	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000276977	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_3022	dysfunctional	0	0	0	0	0	1.9657996356940224	1.9657996356940224	1.9657996356940224	0	2.794322725054995	1.9657996356940224	0	2.323458744966001	0
cell_3023	dysfunctional	0	0	0	0	0	0	0	3.386808644210056	0	0	0	0	1.9042374526547452	0
cell_3024	dysfunctional	2.237321064667244	0	3.5401707043840793	2.8756191194211262	0	2.8756191194211262	0	2.8756191194211262	0	2.237321064667244	2.8756191194211262	0	0	0
cell_3025	dysfunctional	0	0	3.657225135488917	0	0	3.20258528629371	0	1.7438301897001884	2.718503476057438	0	0	1.7438301897001884	2.345492688389461	0
cell_3026	dysfunctional	0	0	2.906412759359611	2.527916451041933	0	0	0	3.5718436176208845	1.9115684159041644	0	3.1803326919038772	0	0	0
cell_3027	dysfunctional	0	0	1.9891267505550956	0	0	0	2.611414221678197	1.9891267505550956	2.611414221678197	0	3.2671551179914067	1.9891267505550956	0	0
cell_3028	dysfunctional	0	0	0	0	0	2.426563779520568	0	2.802140009950101	0	0	0	0	0	0
cell_3029	dysfunctional	0	0	2.0586353350948854	2.0586353350948854	0	0	0	0	0	2.0586353350948854	0	0	0	0
cell_3030	dysfunctional	0	0	0	0	0	3.56125985678807	0	2.517898754721667	0	0	0	0	0	0
cell_3031	dysfunctional	0	0	0	0	0	0	2.371940710472097	3.6856916768947388	0	3.017314980614654	0	2.371940710472097	0	0
cell_3032	dysfunctional	0	0	0	0	0	2.3693014734316296	2.3693014734316296	2.3693014734316296	0	2.3693014734316296	0	0	0	3.014546420368209
cell_3033	dysfunctional	0	0	4.055072449410767	0	0	0	0	2.512673271039079	3.1644507668432644	0	0	0	0	0
cell_3034	dysfunctional	0	0	0	0	0	2.241067215200396	0	2.87957606515677	0	0	0	0	0	0
cell_3035	dysfunctional	0	0	1.995415564419682	1.4297439776321976	0	2.6181632721171044	0	1.4297439776321976	2.8266120410863227	2.354502596716878	0	0	0	0
cell_3036	dysfunctional	0	0	0	0	0	0	0	3.2568953943884686	0	0	2.601533054350115	0	2.601533054350115	0
cell_3037	transitional	0	0	2.5877732833977265	2.5877732833977265	0	2.5877732833977265	0	2.5877732833977265	2.5877732833977265	3.242601960910441	0	0	0	0
cell_3038	dysfunctional	0	0	0	0	0	2.942829892212538	0	3.6092653008991062	3.3305666659822992	0	0	0	0	0
cell_3039	dysfunctional	0	0	0	0	0	2.1363250442806674	0	3.429883297605181	0	0	0	0	0	0
cell_3040	dysfunctional	0	0	2.102800656976469	0	0	0	2.102800656976469	2.102800656976469	2.102800656976469	2.102800656976469	2.102800656976469	0	0	0
cell_3041	dysfunctional	0	0	1.8480757777550814	1.8480757777550814	0	3.3228021574968136	2.4591774038221814	2.4591774038221814	0	0	0	1.8480757777550814	0	0
cell_3042	dysfunctional	0	0	3.0628000856913378	0	0	2.4153493260323504	0	3.4525569327741508	0	3.0628000856913378	0	0	0	0
cell_3043	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	2.6706874336175734	0
cell_3044	dysfunctional	0	0	2.96088294434551	0	0	2.96088294434551	2.96088294434551	2.96088294434551	0	3.6278025780313037	0	0	0	0
cell_3045	dysfunctional	1.6845111779803141	0	2.6510880185886405	0	0	3.1332777674522143	1.6845111779803141	3.1332777674522143	0	0	2.2803017793980076	0	2.2803017793980076	0
cell_3046	dysfunctional	0	0	2.989106598581854	0	0	2.345066087970213	1.7434408919572473	2.345066087970213	0	1.7434408919572473	2.345066087970213	0	1.7434408919572473	0
cell_3047	dysfunctional	0	0	0	0	0	1.940614612252506	0	2.9385843826514155	0	2.9385843826514155	1.940614612252506	0	0	0
cell_3048	dysfunctional	0	0	3.0598896244944562	0	0	3.4496003241423345	0	3.0598896244944562	0	0	0	0	0	0
cell_3049	dysfunctional	0	0	2.776346712382111	0	0	0	0	3.9836149061492163	2.776346712382111	0	0	0	2.143603485897122	0
cell_3050	transitional	0	0	0	0	0	2.752659434940183	3.413408377203164	3.413408377203164	3.80783654332461	0	3.413408377203164	0	0	0
cell_3051	transitional	0	0	2.4446327506500602	0	0	0	3.093431940755697	0	0	2.4446327506500602	2.4446327506500602	0	0	0
cell_3052	naive	0	0	0	0	0	3.6476192794946525	0	0	0	2.980191579342283	0	0	0	0
cell_3053	transitional	0	0	0	0	0	0	0	0	3.010868111889806	3.010868111889806	0	0	0	0
cell_3054	dysfunctional	0	0	2.343361888752739	0	0	3.6549291967908255	0	2.343361888752739	0	3.3758312843280724	2.343361888752739	0	0	0
cell_3055	dysfunctional	0	0	0	0	0	3.020092020405061	0	2.748544656607301	0	0	0	0	0	0
cell_3056	dysfunctional	0	0	0	0	0	0	1.8548650234579702	0	0	0	0	0	1.8548650234579702	0
cell_3057	dysfunctional	0	0	2.1469341701990836	0	0	0	0	0	2.779884417211278	0	2.1469341701990836	2.779884417211278	0	0
cell_3058	dysfunctional	0	0	2.5105920372654937	2.5105920372654937	0	0	0	4.0528467486384585	0	2.5105920372654937	0	0	0	0
cell_3059	dysfunctional	0	0	0	2.270898050243479	0	2.270898050243479	0	2.9110560559586918	2.9110560559586918	2.9110560559586918	0	2.9110560559586918	0	0
cell_3060	dysfunctional	0	0	2.517898754721667	0	0	0	2.517898754721667	3.169896361140777	0	0	0	0	0	0
cell_3061	dysfunctional	0	0	3.4903218750925675	0	0	0	0	3.4903218750925675	0	0	0	0	0	0
cell_3062	dysfunctional	0	0	0	0	0	0	0	0	0	0	2.2181168275541614	2.2181168275541614	0	0
cell_3063	dysfunctional	0	0	0	0	0	2.9981103959589586	0	0	0	0	0	2.9981103959589586	0	0
cell_3064	dysfunctional	0	0	0	0	0	3.3515942149193667	2.6928759647180742	0	4.027071973285664	0	2.6928759647180742	0	0	0
cell_3065	dysfunctional	0	0	2.953962860677696	0	0	0	0	0	1.7129785913749407	2.3116349285139637	0	0	0	0
cell_3066	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	2.1536379116236706	0
cell_3067	naive	0	0	0	0	0	2.1469341701990836	0	0	2.1469341701990836	0	0	0	0	0
cell_3068	dysfunctional	0	0	0	0	0	3.172083663361442	0	4.394449154672439	0	0	0	0	0	0
cell_3069	dysfunctional	0	0	0	0	0	2.7784676339395573	0	0	2.7784676339395573	0	0	0	0	0
cell_3070	dysfunctional	0	0	2.4237460475970547	0	0	0	0	3.9596759368717307	0	0	0	0	0	0
cell_3071	dysfunctional	0	0	2.9009806769680226	0	0	0	3.3895732534657457	2.9009806769680226	1.9066730624564856	0	1.9066730624564856	0	1.9066730624564856	0
cell_3072	dysfunctional	0	0	1.4619932353073992	0	0	2.031970113164633	0	2.866349656661382	2.031970113164633	0	0	0	0	1.4619932353073992
cell_3073	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_3074	dysfunctional	0	0	2.49718693891809	0	0	0	0	2.49718693891809	0	2.49718693891809	0	0	0	0
cell_3075	dysfunctional	2.964363009886346	0	3.3524807442013334	0	0	0	0	3.849208487538675	0	0	0	0	2.964363009886346	0
cell_3076	transitional	0	0	0	0	0	0	0	2.375472808742538	0	0	0	0	0	0
cell_3077	dysfunctional	0	0	2.4256234817718476	0	0	3.4634782014698198	0	3.743299299043488	3.4634782014698198	2.4256234817718476	3.0735520523985373	0	0	0
cell_3078	dysfunctional	0	0	1.9767033448251121	0	0	0	1.9767033448251121	1.9767033448251121	2.59807244573354	1.9767033448251121	0	0	0	0
cell_3079	dysfunctional	0	0	0	0	0	0	0	0	0	2.374588373418914	0	0	0	0
cell_3080	transitional	0	0	2.416278143398904	2.416278143398904	0	0	0	0	0	0	0	0	0	0
cell_3081	dysfunctional	0	0	0	0	0	4.286836605470409	0	3.3909586304536945	0	0	0	0	0	0
cell_3082	dysfunctional	0	0	0	2.1213202464076146	0	3.1366427612315193	0	3.6299443917061804	0	0	0	0	2.752659434940183	2.1213202464076146
cell_3083	dysfunctional	0	0	0	0	0	2.9748844906074465	0	0	0	0	0	0	0	0
cell_3084	dysfunctional	0	0	2.1758249446712257	0	0	2.5427174459760438	0	0	0	2.81054053378057	0	0	0	0
cell_3085	dysfunctional	0	0	0	0	0	0	0	2.2524109929035103	0	2.2524109929035103	0	0	2.2524109929035103	0
cell_3086	dysfunctional	0	0	0	0	0	0	0	4.569971945083349	0	0	2.8287071404115056	0	0	0
cell_3087	dysfunctional	0	0	2.552122795903801	0	0	2.552122795903801	2.552122795903801	0	0	0	0	2.552122795903801	0	0
cell_3088	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_3089	dysfunctional	0	0	2.7282548159047963	0	0	0	2.7282548159047963	3.782334617521055	0	0	0	0	0	0
cell_3090	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_3091	transitional	0	0	0	0	0	0	0	0	0	2.1469341701990836	0	0	0	0
cell_3092	dysfunctional	0	0	3.478578475472602	0	0	2.8158161982316137	3.0884212198784415	0	1.8302751413086702	0	1.8302751413086702	1.8302751413086702	0	0
cell_3093	dysfunctional	0	0	0	0	0	0	0	2.449936639011645	1.8395660143570352	0	0	3.098975674108795	0	0
cell_3094	dysfunctional	0	0	0	0	0	0	2.4543012007119227	0	0	0	2.4543012007119227	0	0	0
cell_3095	dysfunctional	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_3096	dysfunctional	0	0	2.2173872765793767	0	0	0	0	0	2.2173872765793767	0	0	0	0	0
cell_3097	dysfunctional	0	0	2.20365030225719	0	0	3.225813828479976	0	4.297586851238872	0	0	0	0	0	0
cell_3098	dysfunctional	0	0	0	0	0	0	2.662587827025453	0	0	0	0	0	0	0
cell_3099	dysfunctional	0	0	0	0	0	0	0	3.3305666659822992	0	3.3305666659822992	0	0	0	0
cell_3100	dysfunctional	0	0	0	2.5798472121421736	0	0	0	2.5798472121421736	0	2.5798472121421736	0	0	0	0
cell_3101	dysfunctional	0	0	0	0	0	0	0	3.531811543953941	0	0	0	0	0	0
cell_3102	dysfunctional	0	0	0	2.267787483910739	0	0	0	2.267787483910739	0	0	0	0	0	0
cell_3103	dysfunctional	0	0	2.8123773191388315	0	0	3.6919654543364286	2.1775575694296476	3.6919654543364286	0	2.1775575694296476	0	0	0	0
